,cluster,pair,gene_i,gene_j,prop_this_cluster,prop_not_cluster,sum_dist_cluster,sum_dist_not_cluster,avg_dist_cluster,avg_dist_not_cluster,med_dist_cluster,med_dist_not_cluster,prop_diff,n1,n2
43,cluster1,43,64,11912,0.631578947368421,0.0934065934065934,-1.73514970666667,-58.92517161,0.0312586372222223,-0.289815058333333,-0.045661834385965,-0.32138857854321,0.538172353961828,38,182
44,cluster1,44,65,6807,0.736842105263158,0.236263736263736,2.53203833619047,-19.0616670720635,0.067206139920635,-0.100678812023809,0.0666325877944861,-0.103732522752645,0.500578368999422,38,182
45,cluster1,45,65,12168,0.763157894736842,0.241758241758242,4.52109271507937,-32.3089832553968,0.110941579047619,-0.143341108769841,0.118976124081036,-0.175931039518519,0.5213996529786,38,182
46,cluster1,46,66,1026,0.947368421052632,0.313186813186813,9.84472226777778,-26.9699308566667,0.243460265555555,-0.138564437222222,0.259071638625731,-0.150216601981482,0.634181607865818,38,182
47,cluster1,47,66,1689,0.763157894736842,0.252747252747253,4.05676420333333,-25.5135499433333,0.0770643255555555,-0.145994768888889,0.106756952719298,-0.140475025388889,0.510410641989589,38,182
48,cluster1,48,66,2164,0.710526315789474,0.175824175824176,4.05050522555556,-44.62853486,0.0854816305555555,-0.252231840555556,0.106592242777778,-0.24933542917284,0.534702139965298,38,182
49,cluster1,49,66,2591,0.657894736842105,0.153846153846154,5.85518258555556,-87.2130634844445,0.185280088888889,-0.470119112777777,0.154083752251462,-0.477872684833334,0.504048582995951,38,182
50,cluster1,50,66,2612,0.815789473684211,0.313186813186813,5.53082757777777,-15.0622023855556,0.152095118333333,-0.095143434444444,0.145548094152047,-0.0828658533580247,0.502602660497397,38,182
51,cluster1,51,66,2618,0.815789473684211,0.285714285714286,7.68295476444445,-25.1483695544445,0.185592011111111,-0.131710253333333,0.202183020116959,-0.142319308679012,0.530075187969925,38,182
52,cluster1,52,66,2746,0.815789473684211,0.307692307692308,6.68648159444445,-27.3804674144444,0.167032095555555,-0.151607550555555,0.175960041959064,-0.151226671209877,0.508097165991903,38,182
53,cluster1,53,66,4347,0.894736842105263,0.384615384615385,8.98758283888889,-22.4554480488889,0.236792281666667,-0.090317543333333,0.236515337865497,-0.121026141160494,0.510121457489878,38,182
54,cluster1,54,66,6231,0.789473684210526,0.285714285714286,5.85970084,-29.1056924711111,0.148364427777779,-0.162816065555556,0.154202653684211,-0.163653610611111,0.503759398496241,38,182
55,cluster1,55,66,8937,0.736842105263158,0.225274725274725,4.87811067888889,-30.2135938077778,0.124233916666666,-0.164945711666666,0.128371333654971,-0.165829705839506,0.511567379988433,38,182
56,cluster1,56,66,10897,0.710526315789474,0.17032967032967,3.78895314666667,-31.2113413555556,0.105431870555556,-0.147251143888889,0.0997092933333333,-0.165370491783951,0.540196645459803,38,182
57,cluster1,57,66,11167,0.710526315789474,0.175824175824176,3.43116424111112,-33.5745626388889,0.0869029805555555,-0.164778032777778,0.0902937958187136,-0.185958630481482,0.534702139965298,38,182
58,cluster1,58,66,11919,0.815789473684211,0.313186813186813,5.68518037444444,-20.3423929766667,0.137902711111111,-0.108633681111111,0.149610009853801,-0.114876431055556,0.502602660497397,38,182
59,cluster1,59,66,11929,0.763157894736842,0.164835164835165,4.15108302777778,-30.7759775144444,0.0843424344444445,-0.177292527777778,0.109239027046784,-0.172734278580247,0.598322729901677,38,182
