,cluster,pair,gene_i,gene_j,prop_this_cluster,prop_not_cluster,sum_dist_cluster,sum_dist_not_cluster,avg_dist_cluster,avg_dist_not_cluster,med_dist_cluster,med_dist_not_cluster,prop_diff
29,cluster5,29,549,7333,0.125,0.787878787878788,-14.0674195766667,14.4786859288889,-0.330812768888889,0.167431415555556,-0.351685489416666,0.14624935281706,-0.662878787878788
30,cluster5,30,605,5992,0.15,0.848484848484849,-16.8106916744444,32.7324185144444,-0.394877370555553,0.323845803333333,-0.420267291861111,0.330630490044893,-0.698484848484848
31,cluster5,31,636,7333,0.05,0.727272727272727,-16.4063179588889,10.9097297666667,-0.362734186666667,0.134076323333333,-0.410157948972222,0.110199290572391,-0.677272727272727
32,cluster5,32,647,4442,0.875,0.161616161616162,5.02116440809524,-17.3960095585714,0.129390368809524,-0.175520500238096,0.125529110202381,-0.175717268268398,0.713383838383838
33,cluster5,33,651,7520,0.075,0.808080808080808,-14.05551558,29.0342200322222,-0.353008047222224,0.28248438555555,-0.3513878895,0.293274949820427,-0.733080808080808
34,cluster5,34,669,9592,0.05,0.747474747474748,-19.7159731969048,28.5334659318254,-0.476497980357143,0.323317541587304,-0.492899329922619,0.288216827594196,-0.697474747474747
35,cluster5,35,815,6611,0.075,0.747474747474748,-18.3900159677778,13.3459789511111,-0.313013993888889,0.152110924444444,-0.459750399194445,0.134807868193042,-0.672474747474748
36,cluster5,36,828,7333,0.125,0.818181818181818,-16.2719930188889,16.2286290822222,-0.345914322777778,0.184412276666667,-0.406799825472222,0.163925546285073,-0.693181818181818
37,cluster5,37,910,7520,0.175,0.878787878787879,-7.09780432555554,37.1187520355556,-0.184485747777778,0.43859604,-0.177445108138888,0.374936889248036,-0.703787878787879
38,cluster5,38,951,7333,0.15,0.828282828282828,-12.3036920144444,26.4016787833333,-0.228968444444445,0.323207371111111,-0.307592300361111,0.266683624074074,-0.678282828282828
39,cluster5,39,968,2428,0.125,0.787878787878788,-17.0115419411111,27.8202135188889,-0.44152245111111,0.37869685222223,-0.425288548527778,0.281012257766554,-0.662878787878788
40,cluster5,40,1038,7333,0.125,0.858585858585859,-12.0276582033333,30.1342796411111,-0.226826822222223,0.29340345,-0.300691455083333,0.304386663041526,-0.733585858585859
41,cluster5,41,1043,7333,0.125,0.848484848484849,-16.0832824233333,20.4601272077778,-0.368621401666667,0.242700795555555,-0.402082060583333,0.206667951593715,-0.723484848484849
42,cluster5,42,1059,7520,0.125,0.797979797979798,-11.0524951644444,22.1540107766667,-0.30207026333333,0.219612876666667,-0.276312379111111,0.223777886632997,-0.672979797979798
43,cluster5,43,1081,7333,0.125,0.808080808080808,-15.0077148833333,17.1086923266667,-0.37047476,0.189046442222222,-0.375192872083333,0.172815074006734,-0.683080808080808
44,cluster5,44,1127,7333,0.1,0.808080808080808,-13.7990589988889,23.8033593811111,-0.247766731666667,0.269139787777778,-0.344976474972222,0.240437973546577,-0.708080808080808
45,cluster5,45,1195,7520,0.05,0.747474747474748,-11.0636934988889,18.2634992,-0.197023638333337,0.187410677777781,-0.276592337472222,0.18447978989899,-0.697474747474747
46,cluster5,46,1230,7885,0.125,0.808080808080808,-24.1582630377778,16.4744568411111,-0.518449025,0.225123665555556,-0.603956575944444,0.166408654960718,-0.683080808080808
47,cluster5,47,1272,5923,0.25,0.929292929292929,-6.24322775555555,24.0738978433333,-0.148573763333333,0.256638425555556,-0.156080693888889,0.243170685286195,-0.679292929292929
48,cluster5,48,1272,7333,0.15,0.828282828282828,-15.5873509144444,17.20578334,-0.350003668333333,0.21913734,-0.389683772861111,0.173795791313131,-0.678282828282828
49,cluster5,49,1291,11252,0.725,0.0505050505050505,6.34277702444446,-39.64729389,0.181939010555555,-0.33056791111111,0.158569425611111,-0.400477716060606,0.674494949494949
